,EqVolTarget,RatesCarry,CommodityCurve,FxCarry,XAssetOverlay
2022-01-03,100.0,100.0,100.0,,
2022-01-04,100.0,100.0,100.0,,
2022-01-05,100.0,100.0,100.0,,
2022-01-06,100.0,100.0,100.0,,
2022-01-07,100.0,100.0,100.0,,
2022-01-10,100.0,100.0,100.0,,
2022-01-11,100.0,100.0,100.0,,
2022-01-12,100.0,100.0,100.0,,
2022-01-13,100.0,100.0,100.0,,
2022-01-14,100.0,100.0,100.0,,
2022-01-18,100.0,100.0,100.0,,
2022-01-19,100.0,100.0,100.0,,
2022-01-20,100.0,100.0,100.0,,
2022-01-21,100.0,100.0,100.0,,
2022-01-24,100.0,100.0,100.0,,
2022-01-25,100.0,100.0,100.0,,
2022-01-26,100.0,100.0,100.0,,
2022-01-27,100.0,100.0,100.0,,
2022-01-28,100.0,100.0,100.0,,
2022-01-31,100.0,100.0,100.0,,
2022-02-01,100.0,100.0,100.0,100.0,100.0
2022-02-02,100.0,99.655,100.0,100.0,100.0
2022-02-03,100.0,100.1034475,100.0,100.0,100.0
2022-02-04,100.0,101.229611284375,100.0,100.0,100.0
2022-02-07,100.0,101.1233201925264,100.0,100.0,100.0
2022-02-08,100.0,101.51636310490353,100.0,100.0,100.0
2022-02-09,100.0,101.21181401558881,100.0,100.0,100.0
2022-02-10,100.0,101.68244895076131,100.0,100.0,100.0
2022-02-11,100.0,100.50801666538003,100.0,100.0,100.0
2022-02-14,100.0,101.06582321074464,100.0,100.0,100.0
2022-02-15,100.0,101.77801603397896,100.0,100.0,100.0
2022-02-16,100.0,101.71133302493625,100.0,100.0,100.0
2022-02-17,100.0,101.22990114276473,100.0,100.0,100.0
2022-02-18,100.0,100.80823914119941,100.0,100.0,100.0
2022-02-22,100.0,100.80823914119941,100.0,100.0,100.0
2022-02-23,100.0,101.20435320502574,100.0,100.0,100.0
2022-02-24,100.0,101.01427634704676,100.0,100.0,100.0
2022-02-25,100.0,101.08283748733282,100.0,100.0,100.0
2022-02-28,99.9908160941923,100.04278959383693,100.0,100.0,100.0
2022-03-01,99.28612678364551,99.29871193623836,100.0,100.0,100.0
2022-03-02,100.1172211969193,99.9984034736687,100.0,100.0,100.0
2022-03-03,99.88777151491344,99.95353815400189,100.0,100.25449489967745,99.98244875070408
2022-03-04,99.51359936639464,99.25814021212732,100.0,100.32773995259672,99.1752820648131
2022-03-07,98.14625792692557,99.43959847158497,100.0,100.26592768378053,98.13786581494325
2022-03-08,97.80325904865077,99.78965670603208,100.0,99.92739397255761,97.86925359176996
2022-03-09,98.9914987685348,100.1874025601597,100.0,99.84038813732882,99.03363574736282
2022-03-10,98.78576924314815,100.36611020959771,100.0,100.15704501589975,99.26144655969935
2022-03-11,98.20529498984214,100.44155108151054,100.0,100.32949676009437,99.01128093124413
2022-03-14,97.87450751829913,101.09699017523171,100.0,100.01431190840594,99.01246820927608
2022-03-15,98.85212985424992,101.18354963074563,100.0,99.98855848629883,99.8310592085576
2022-03-16,99.84766746957729,101.28036447589625,100.0,100.38325538517824,101.03517865152884
2022-03-17,100.41772689192364,101.34894855497151,100.0,100.87832803659961,101.93405615709146
2022-03-18,100.92003683563078,100.96403723129495,100.0,101.43460595457717,102.43616093733871
2022-03-21,100.9064753105721,101.80645333353901,100.0,101.59680820994114,103.15705465724783
2022-03-22,101.44553268277305,102.10687748464994,100.0,102.42790897757395,104.39177844627304
2022-03-23,100.8417191578182,101.85862221364239,100.0,102.7945258468819,104.03040768316126
2022-03-24,101.53453348785266,101.96101112546303,100.0,103.06569412287021,104.7643373405547
2022-03-25,101.76168014788367,102.49111981018237,100.0,103.11908683920402,105.33634218416105
2022-03-28,102.09287784064809,102.32440183689289,100.0,103.15656195286044,105.47899739642435
2022-03-29,102.66927531772974,102.07081451747018,100.0,102.7083910809498,105.3938932538081
2022-03-30,102.37725609551637,101.8061265212167,100.0,102.4054810011461,104.76988386114827
2022-03-31,101.64779229355558,101.68431337210102,100.0,102.44401707207307,104.16407354802561
2022-04-01,101.78373280435488,101.86559812723279,100.0,102.8415221196338,104.6957185205605
2022-04-04,102.19401444437517,102.0400111515291,100.0,103.34828475573296,105.51403820521365
2022-04-05,101.58014036483335,102.60562137995386,100.0,104.05379838207993,106.01084716974107
2022-04-06,101.0977347162614,103.01606691919767,100.0,103.81075059584943,105.77290630063287
2022-04-07,101.3378613150276,103.3197096738245,100.0,103.46493488542312,105.92834334731438
2022-04-08,101.20963511970957,103.56738556994864,100.0,103.57949707334629,106.10811375176318
2022-04-11,100.38509331067107,103.97705427784886,100.0,103.75222503162233,105.89915470851498
2022-04-12,100.20899701555759,103.72955950691814,100.0,104.05310747750866,105.79419490943465
2022-04-13,100.7482954202516,103.64677001687951,100.0,103.91993065384841,106.08267607822472
2022-04-14,100.15175365813872,104.22781039028295,100.0,104.13351040163236,106.23969177659802
2022-04-18,100.17120740816235,104.35180869961466,100.0,104.07057203276896,106.31189226861464
2022-04-19,100.92924807379356,104.59583762341308,100.0,104.65989386303647,107.79744972361094
2022-04-20,100.89386017541197,104.17702970181612,100.0,104.74846930510151,107.44747729092445
2022-04-21,100.17552053562235,104.35205094759255,100.0,104.63969000396713,106.87223380706882
2022-04-22,98.85843331212267,104.30461497176289,100.0,103.65223973624369,104.78750312691221
2022-04-25,99.12849421700069,103.92281488276805,100.0,102.58479523859931,103.7841201904599
2022-04-26,97.75182420712677,103.81079121610432,100.0,102.39511606585012,102.57839245269894
2022-04-27,97.88152675229041,104.03787084254607,100.0,102.79560742783873,103.09670084702891
2022-04-28,99.03537660114019,104.14532765891431,100.0,103.13993219547415,104.16015399057588
2022-04-29,97.27206043945262,104.28662828857982,100.0,103.18947924318881,103.08510527550689
2022-05-02,97.51748273030736,104.84188694896397,99.9129241922711,102.98876097759529,103.40400797880666
2022-05-03,97.70499535487623,104.65115808945144,99.91215220212817,103.10904130310767,103.48112100217355
2022-05-04,98.93722937422628,104.5740655953097,100.27723032922368,103.23022618864799,104.52577834117793
2022-05-05,97.43192056580983,105.21687734970975,100.31392860078479,102.70378119229215,103.62697202900097
2022-05-06,97.186691312116,105.63134912911603,100.25036425365195,102.49299730126111,103.54931214233191
2022-05-09,95.85711181041052,105.37412844805263,99.78001111119184,101.9683755621064,101.98913563130554
2022-05-10,95.95010398521946,105.02700620910437,99.7447776033702,101.6075230408739,101.60929184602212
2022-05-11,95.30413478481826,104.52650063915566,100.03709090493491,101.97799816534719,101.34701952630564
2022-05-12,95.26228276086754,104.25973302632576,100.1272405502138,100.79259255653187,100.60143674609185
2022-05-13,96.20852712227132,104.68321566115971,100.31640395717415,101.50270821296725,101.87062118686848
2022-05-16,96.04407269531539,104.44687189104033,100.48150536571856,101.67025424593625,101.83351509802398
2022-05-17,96.8662385702348,104.82593204182946,100.41517761133841,102.31034303545543,102.74327365971381
2022-05-18,95.19058539496363,104.37316921274231,100.16865604464886,101.82210011863835,101.21139949001035
2022-05-19,94.94472958318637,104.16508528783122,100.34754054499837,101.96187511757469,101.13963610158778
2022-05-20,94.96215498735545,103.8871962408194,100.30517211174252,101.96571246995157,101.01009377783963
2022-05-23,95.70221948972461,104.25201265325316,100.36501420517676,102.15627590239231,101.65040947619221
2022-05-24,95.39390407557906,103.8949834454503,100.37876810084889,101.33776103368587,100.95051181076464
2022-05-25,95.74666754918336,103.86556354962195,100.47788646259778,101.77324056093056,101.36599150235935
2022-05-26,96.54305667809031,103.88897795380154,100.63375947276232,101.70810300174742,101.81682571732647
2022-05-27,97.52742163503495,103.8225671311654,100.73914439399357,102.24998112348752,102.59350335520318
2022-05-31,97.29506567177266,104.36387994679906,100.70751311692787,102.79926879761825,102.98679174453686
2022-06-01,97.02969105002079,104.71818713780378,100.85903528065849,102.97713908244504,103.17914388653256
2022-06-02,97.64442696062656,104.62021882269642,100.97315025696771,103.32158625792613,103.67653765989485
2022-06-03,97.10176901637149,104.82794209588452,101.10858865289201,103.21834644992396,103.50844403537096
2022-06-06,97.20091613792295,105.1931292042672,101.25747042506703,103.68810625699241,104.06184378657619
2022-06-07,97.51255259727617,104.82012647962864,101.22820943020928,104.17011259914146,104.28047059810382
2022-06-08,97.15454966294618,105.06806831473479,101.2387478655465,104.3819207696862,104.32611090271241
2022-06-09,96.36915923695062,105.06174256611072,101.36407346762128,104.0185093925428,103.73983276296038
2022-06-10,95.416835991542,105.40154647956616,101.22269704986533,103.62983842775486,103.05810983822441
2022-06-13,94.17643055223802,106.62223140992175,101.02833442245623,102.82950409897624,102.4191545559094
2022-06-14,94.08097981983991,106.91644242941958,100.73055507318003,102.28629207138036,102.04802089994428
2022-06-15,94.52825706775414,106.43935908895206,100.6946959970941,102.77010476515957,102.31440945041743
2022-06-16,93.45976596725454,106.26974460061278,100.83648271847203,102.60677734832136,101.55032963254509
2022-06-17,93.52736496022102,106.1056196578576,100.2448115393035,102.96869943233679,101.36231153031173
2022-06-21,94.3082967038756,106.33943668254125,100.26430217043007,103.54252331267885,102.31751921883503
2022-06-22,94.25082463371925,105.79212363400354,100.22128212025372,103.1430989378419,101.70718263191243
2022-06-23,94.55960863570907,105.51317267111855,99.94585303486065,102.70416697524414,101.33757928911606
2022-06-24,95.55358120100112,105.66298160402985,100.15093040196794,103.11974189014859,102.38622901173594
2022-06-27,95.4307656926487,105.9410900917243,100.13874677934966,102.98746694257119,102.38277133715556
2022-06-28,94.76910596767834,105.92031090807797,100.26861390131204,103.02629992827296,102.07204689560486
2022-06-29,94.74317181814192,105.49097026354819,100.0044392543935,103.01114084069138,101.65570472332493
2022-06-30,94.48359072188849,105.06074527126547,99.40206072479457,102.95119112319846,100.85442552397001
2022-07-01,94.81627037709166,104.67316490133636,99.62404168448225,101.99574998126783,100.41974208071723
2022-07-05,94.87614875706815,104.41685030698463,98.81189597068139,102.29600742062881,100.00595559332022
2022-07-06,94.98320514013099,104.76631870812892,98.54585033469732,102.5076375448839,100.23568511144975
2022-07-07,95.45577206300807,105.07501480626446,99.12678018511578,103.24140397722408,101.51113325821
2022-07-08,95.42948400620821,105.35235358407525,99.13915036113046,103.53470308262558,101.84818458040057
2022-07-11,95.06253884048121,104.93874270667385,99.25839876449558,103.17604897998014,101.26664869101909
2022-07-12,94.77976522201548,104.8400268704742,98.83322207721761,103.20184324579418,100.79758384721185
2022-07-13,94.61273574075153,104.50836746911038,98.92368276204886,103.4732149517823,100.71613039012621
2022-07-14,94.5357474106037,104.72286950919938,98.85488013400735,103.59040346836663,100.81627042271593
2022-07-15,95.13450291479091,104.60253477560187,99.01801616459944,103.63717935188515,101.26556283075041
2022-07-18,94.87051809108557,104.72486772097058,99.22489206183853,103.9642206022118,101.49787231362384
2022-07-19,95.71701183654692,104.88345002601092,99.24109091410742,104.07259843708296,102.25340767873368
2022-07-20,95.9205198158574,105.01277188022691,99.28263898267497,104.0741439842223,102.5080449064861
2022-07-21,96.24576729993713,104.5114880072338,99.03117426522513,104.02032327590342,102.21383664558464
2022-07-22,95.94551318551986,103.9112701492715,99.01105251611978,103.85806879680754,101.4920018629164
2022-07-25,95.98450895543766,104.09099892901288,99.29138919112663,104.1965106238624,102.06035909013823
2022-07-26,95.60218667680161,104.06977003432094,99.31657506203126,104.4337419531832,101.94633944096059
2022-07-27,96.42238900032311,103.98837114895758,99.48135229786976,104.53670438068556,102.66909391062316
2022-07-28,96.82461352146565,103.60811907314833,99.38409222305383,104.10148102966656,102.33682620963702
2022-07-29,97.29197824235499,103.51063143243866,99.42809847695978,103.86806551228524,102.48468466829424
2022-08-01,97.1708955707689,103.87833744400005,99.32083360047962,103.76850819222602,102.50432243784233
2022-08-02,96.90097492058761,103.2768894814907,99.31448364660316,103.56656462471211,101.7135203447015
2022-08-03,97.53283872376105,103.42629062636321,99.40087312096219,103.89794777374006,102.63449548197879
2022-08-04,97.50517265988377,103.59346861180398,99.42152251611351,103.58458466619207,102.52255417043428
2022-08-05,97.43595316272196,103.07837623264741,99.53741593080704,103.75483468388478,102.31106819640183
2022-08-08,97.38845615886453,103.34884071174993,99.45847183978121,104.0732237494294,102.64506436307576
2022-08-09,97.22583755581034,103.27869774227267,99.4278260540565,103.94113103592993,102.33864061165224
2022-08-10,98.07395637619078,103.32231624479857,99.46044181724012,104.03501307527978,103.16409445004113
2022-08-11,98.07395637619078,102.86729866836934,99.45198221760585,104.12333498050008,102.86526525085367
2022-08-12,98.76488455689841,103.04601324307666,99.45835806690789,104.31755824204103,103.72380997677762
2022-08-15,98.93532759904606,103.24190707706013,99.52917745750912,103.99978852993068,103.83087290334248
2022-08-16,99.01656471203555,103.14446708607485,99.65009767940725,104.22122999371268,104.09145145052024
2022-08-17,98.72057526591222,102.81182513649168,99.49990642416526,103.82583705089988,103.12911283868813
2022-08-18,98.84080960229056,102.79387912670121,99.45773191153629,103.88806079835256,103.23264391354003
2022-08-19,98.27962592707433,102.2931090481897,99.42856819163391,103.81442316817522,102.28577887141755
2022-08-22,97.41176307124309,102.10344121305816,99.35088322958553,104.19323150928315,101.63142616448036
2022-08-23,97.3127497582391,101.96322650467648,99.14101872656109,104.4109914056209,101.43794240951753
2022-08-24,97.44326775800509,101.7249234484604,98.89565675616431,104.30490076132838,101.07827671933127
2022-08-25,98.0165352073635,102.15136295075207,99.03201706835516,104.59193576220281,102.24522086503922
2022-08-26,96.60010455987094,102.120380945566,98.99040255871891,104.20504062547164,100.64470167169782
2022-08-29,96.33116239806526,101.74540554071802,98.96755469191929,104.40722659258768,100.27521433773012
2022-08-30,95.88492580657224,101.85103279534277,98.99626510938776,103.92386246638732,99.72752077452466
2022-08-31,95.57693489190842,101.61777321419689,99.07772451012843,103.6718306348256,99.22867937708206
2022-09-01,95.71247179015879,101.0700593051088,99.50653226108979,103.62619107597746,99.22276676759445
2022-09-02,95.25319134991645,101.27313821484148,99.31290390787782,103.85931213257258,99.04608327093811
2022-09-06,95.09018906694153,100.6904237476759,99.21351881329645,104.4610297125061,98.85050308080116
2022-09-07,95.85663762525111,100.95839618623627,99.37880956218582,104.3802846428765,99.72317208167996
2022-09-08,96.13933648763623,100.89001027466156,99.34484889540623,104.34696402673814,99.84869425397461
2022-09-09,96.81025326791696,100.77479624510867,99.15287329945474,104.55165989047288,100.29226303780625
2022-09-12,97.27875490527732,100.58516484714981,99.14959282941108,104.80292349493337,100.70915008216399
2022-09-13,95.32105549458917,100.51835398152326,99.1975136860552,104.54173624994243,98.89194676221796
2022-09-14,95.48538893125883,100.61115192557901,99.47229108333278,104.25441347764813,99.10438440300928
2022-09-15,94.991848303263,100.4963585029015,99.66411014783763,103.87796792116121,98.57477297044349
2022-09-16,94.66252914363567,100.4701534291559,99.59153151234112,103.44608070190179,97.99069853407869
2022-09-19,94.99356712647639,100.36254334296547,99.39812367283406,103.46676835414506,98.03713474018794
2022-09-20,94.49710994197349,99.87758821826608,99.39352141257002,103.6546797959797,97.47238892094686
2022-09-21,93.74432896868531,100.34508893331804,99.4531347187062,103.73518336543286,97.33902415202846
2022-09-22,93.38635637923987,99.30173222428775,99.19049365223202,102.9987074391977,95.66211114397116
2022-09-23,92.67205396204457,99.47856822884243,99.5794498026517,102.02579028971775,94.85498381686071
2022-09-26,92.25497290820736,98.65273665865087,99.77466976834307,101.53320491234321,93.92991086047827
2022-09-27,92.1482358267598,98.25183337578811,99.42475119780576,101.69058665630084,93.51362031796604
2022-09-28,92.96103733178596,99.06370968975176,99.10632905471724,101.96833749394949,94.43595716932374
2022-09-29,92.07268429645028,98.98190350103233,99.23129062737107,102.32083399241444,94.11307983980073
2022-09-30,91.42249016756972,98.7824223266261,99.32776508291583,102.34689558037533,93.68633026575543
2022-10-03,92.41884103226322,99.28085632047316,99.06834223741961,103.05353244298776,94.80625382014225
2022-10-04,93.5983236419602,99.44937825879579,98.7801103953794,102.89961160773618,95.3773659050586
2022-10-05,93.50708352211699,98.99387588113142,98.66878704569959,102.70844715498843,94.92479654664162
2022-10-06,93.101579595021,98.80596937986064,98.52786677247435,102.19293890329185,94.2515741735613
2022-10-07,92.00004338571429,98.65185905666239,98.20300552701678,102.18198954865112,93.35480091215149
2022-10-10,91.70513448419497,98.65185905666239,98.31970448772529,102.18198954865112,93.35480091215149
2022-10-11,91.46146854741221,98.51054355142269,98.40291230995581,102.1891708899074,93.18849197577993
2022-10-12,91.33509993806625,98.56668945296543,98.41445589846303,102.20985631786368,93.16365886680285
2022-10-13,92.33011393044877,98.50092167967036,98.28038276756519,102.87187128427782,93.96026694141771
2022-10-14,91.43996979627518,98.39511729909263,98.44140140674304,102.51355953499348,93.28190040156791
2022-10-17,92.41024627439994,98.29062484344455,98.28445674925615,103.4822867531911,94.18938809401871
2022-10-18,92.86169489032716,98.31296649737202,98.38310625626316,103.04890767549355,94.29018164745698
2022-10-19,92.58550346226971,97.88588943633705,98.15349360430315,103.1209937371026,93.83963179387761
2022-10-20,92.25945401250173,97.52754055099024,98.20448497010695,103.56467652088651,93.71779693152105
2022-10-21,93.18589714037789,97.53210055903968,98.03573457338175,102.73444151910098,93.73623721415193
2022-10-24,93.65988857757958,97.3783066337491,98.01284000403379,102.95079224356607,94.02544490634452
2022-10-25,94.28043329056017,97.9326194683019,97.90454571856355,103.50278463236313,94.94688508597895
2022-10-26,93.982243838643,98.1625972653863,97.73059980088514,103.85281694309137,94.99230031073597
2022-10-27,93.77178934189165,98.40495426750839,97.33918544566579,103.78377509078275,94.7481351896261
2022-10-28,94.69387241450994,98.2587056008882,97.49656443596393,103.93717448526276,95.39531644079459
2022-10-31,94.40605511982372,98.01875553311214,98.00293352183981,104.17826039626684,95.51398978599437
2022-11-01,94.2484552299007,98.17430666098767,97.95622696760246,103.9048601519098,95.32913082619531
2022-11-02,93.33656321187087,98.11223950655199,97.70536323963778,103.77729820348954,94.48750116003201
2022-11-03,92.96880735931636,98.03414311083428,97.91050306905183,102.84281151167659,93.77920154701003
2022-11-04,93.47456360569585,97.84826879990088,97.65127545673582,103.25621476183753,94.06693527312925
2022-11-07,93.81332579751448,97.67797208380293,97.58852695723608,103.5114069190856,94.28276194537264
2022-11-08,94.00548405907139,98.0034395681464,97.82937153262584,103.76459052496519,94.89688751304433
2022-11-09,93.26053503820918,98.03570944795827,98.01549088270218,102.93300659351046,94.05172882920468
2022-11-10,95.15977919948891,99.19203052630834,97.86144943278985,103.01785927788207,95.96406125194682
2022-11-11,95.50869330988128,99.19203052630834,97.79597307427167,103.01785927788207,95.96406125194682
2022-11-14,95.19808894182007,98.95747124876341,97.95885282073529,102.82683470406893,95.6136356624657
2022-11-15,95.50586553496142,99.22896644772153,97.96577535214097,103.42394646350516,96.18993889134411
2022-11-16,95.22744015355828,99.70507408299648,97.97143028556627,103.14275191663538,96.15094780707018
2022-11-17,95.11635359025206,99.38981392884345,98.08251337332221,102.952443267191,95.89828035509512
2022-11-18,95.2803797937985,99.27136045561666,98.18603421088541,103.1951253922424,96.10173254850241
2022-11-21,95.14825607355534,99.2100397066574,98.07284955057723,103.23343208067142,95.95410891707888
2022-11-22,95.6324241684823,99.465916113149,97.89683781068787,103.49265250950681,96.40989111953627
2022-11-23,95.86111414112214,99.65219445341563,97.91043296514914,103.68661945884354,96.76282868302117
2022-11-25,95.85294398617494,99.7353808194232,98.10602713991256,103.84730623909464,97.00825521945289
